id,rule_name,source_spark_version,target_spark_version,migration_type,severity,category,spark_rule,error_with_before_script,spark_doc_link,tags,created_at,before_script_length,after_script_length,relevance_score
format_string_migration_001,Format String Argument Index Migration,3.2,3.3,sql_function_change,high,string_formatting,"Since Spark 3.3, the strfmt in format_string(strfmt, obj, ...) and printf(strfmt, obj, ...) will no longer support to use 0$ to specify the first argument, the first argument should always reference by 1$ when use argument index to indicating the position of the argument in the argument list.","[INVALID_PARAMETER_VALUE.ZERO_INDEX] The value of parameter(s) `strfmt` in `format_string` is invalid: expects %1$, %2$ and so on, but got %0$.; line 1 pos 0",https://spark.apache.org/docs/latest/sql-migration-guide.html#upgrading-from-spark-sql-33-to-34,"format_string, printf, argument_indexing, sql_functions",2026-01-06T18:30:00Z,3220,3856,0.0
cast_alias_migration_002,Cast Auto-Generation Column Alias Migration,3.1,3.2,column_alias_change,medium,column_naming,"In Spark 3.2, the auto-generated Cast (such as those added by type coercion rules) will be stripped when generating column alias names. E.g., sql(""SELECT floor(1)"").columns will be FLOOR(1) instead of FLOOR(CAST(1 AS DOUBLE)).","Column alias names may include auto-generated CAST expressions like FLOOR(CAST(1 AS DOUBLE)) instead of simplified FLOOR(1), causing inconsistent column naming and potential downstream issues",https://spark.apache.org/docs/latest/sql-migration-guide.html#upgrading-from-spark-sql-31-to-32,"cast, column_alias, type_coercion, sql_functions",2026-01-06T18:45:00Z,4257,5632,0.0
